"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"RPN2" 0.248926901234011 7.39008093906616 4.74515818972288 4.29954239956453e-05 0.00440752689705632 2.01026802798443
"GBA1" 0.538581218556146 5.04838490525111 4.72812544477823 4.5153421545718e-05 0.00440752689705632 2.00046246411547
"ZNF548" -0.419596737350828 4.78374905416888 -4.7188109613737 4.63786682528475e-05 0.00444631915477706 1.99526876439247
"COPE" 0.305226227403815 6.73617694260009 4.73806503818099 4.38813731469508e-05 0.00440752689705632 1.98830310697877
"BAX" 0.278789319056341 6.49286281257593 4.73541383157811 4.42171475862355e-05 0.00440752689705632 1.98184052331079
"CLPTM1L" 0.213870260553481 6.61657497292204 4.73381924248249 4.44203289920369e-05 0.00440752689705632 1.97688835637896
"CLIC1" 0.422014288383753 8.23644787192713 4.72837419351334 4.51211449784975e-05 0.00440752689705632 1.97272229818341
"DENND11" -0.658963936534039 6.17943424856431 -4.72469976516952 4.56002613162204e-05 0.00440752689705632 1.96062767148022
"RRBP1" 0.363505144313398 7.43023783595033 4.72606872211612 4.54211727540959e-05 0.00440752689705632 1.95824300803268
"SLC29A2" -0.83083113156382 2.53796708563438 -4.7149207398807 4.69001139353602e-05 0.00445753926503361 1.95153347662018
"ATOSB" 0.605397217485258 6.13899188244875 4.71232167820037 4.72517306758143e-05 0.00445753926503361 1.92224231525525
"CHMP1A" 0.317488910197443 6.45316388995637 4.69925152711394 4.90599905400082e-05 0.00459139213053791 1.88276551696856
"TNIP2" 0.370844091883624 6.26492345941054 4.68652445675458 5.08867300395997e-05 0.00472485291832252 1.84957976870749
"ATM" -0.462948299347309 8.24202622155885 -4.67174931895448 5.30922143024932e-05 0.00489112024261718 1.81657091283024
"ZC3H6" -0.739222114222655 4.18699446526041 -4.64030575138482 5.81062969910106e-05 0.0052409774500865 1.81585224820191
"BCAP31" 0.293783572892309 6.59939757611657 4.65661636446313 5.54493908470973e-05 0.00506867609975947 1.7650160203996
"GYG1" 0.475540979145514 5.34912976205324 4.63902999571561 5.83193552474652e-05 0.0052409774500865 1.74447344397002
"COG1" -0.293515138899205 5.63498600445255 -4.6369543369707 5.86676580233563e-05 0.0052409774500865 1.73223456161643
"NECTIN2" 1.04102460429547 4.55595458035668 4.60841689352517 6.36706740264128e-05 0.00548142247548414 1.70017024146185
"ENO1" 0.379969652670512 9.25815260180611 4.61395903752879 6.26670520607699e-05 0.00548142247548414 1.67388955784377
"PRDX3" 0.523394389562761 4.87724093660399 4.60297094617614 6.46723863381337e-05 0.00548645165251275 1.66832752536753
"MRPL28" 0.339127687611545 5.2348920026976 4.60580991352256 6.41482616703538e-05 0.00548142247548414 1.65929593879272
"ZNF544" -0.480728289274523 3.0391309682487 -4.57966992316901 6.91375940668038e-05 0.00569129532627719 1.65821641190355
"CAMK2G" -0.307563221526562 6.04714970237456 -4.6071920899574 6.38946124323545e-05 0.00548142247548414 1.63842376239098
"RAB1B" 0.326287184767462 7.60606351306557 4.60761133627755 6.38178713265408e-05 0.00548142247548414 1.63497335657225
"HELQ" -0.488730729621628 3.36171506096286 -4.56580317220016 7.19384436440547e-05 0.00582011656547258 1.63181485466406
"JPT1" 0.686150853620379 5.50095950311813 4.59231435074709 6.66779164108302e-05 0.00556374827551904 1.61076098132997
"VASP" 0.463135707877312 8.4703594296983 4.59063776330642 6.69990039962435e-05 0.00556374827551904 1.59895712489334
